path,segment,diameter_m,barrel_invert_el_m,barrel_crown_el_m,cover_m,vertical_required_m,vertical_budget_m,note
T3,W08C2,0.9,25.1,26,1.3,13.349999999999987,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T3,W09B2,1.2,24.8,26,1.3,12.449999999999996,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T3,W10T3,0.9,25.1,26,1.3,10.54999999999999,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T3,W11T3,0.7,25.3,26,1.3,4.799999999999997,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T3,W11AH:122-166,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T3,W11AH:166-270,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T3,W11AC,1.2,24.8,26,1.3,4.349999999999998,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T3,W13A,1.2,24.8,26,1.3,3.3999999999999986,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T3,W14,1.5,24.5,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T4,W06A,1.2,24.8,26,1.3,16.25,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T4,W07AF,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T4,W07C2,0.9,25.1,26,1.3,14.349999999999994,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T4,W08C2,0.9,25.1,26,1.3,13.349999999999987,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T4,W09B2,1.2,24.8,26,1.3,12.449999999999996,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T4,W10T4,0.9,25.1,26,1.3,10.54999999999999,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T4,W11T4,0.7,25.3,26,1.3,4.799999999999997,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T4,W11AH:166-270,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T4,W11AC,1.2,24.8,26,1.3,4.349999999999998,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T4,W13A,1.2,24.8,26,1.3,3.3999999999999986,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T4,W14,1.5,24.5,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T5,W06B,1.2,24.8,26,1.3,16.25,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T5,W07BF,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T5,W07C3,0.9,25.1,26,1.3,14.349999999999994,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T5,W08C3,0.9,25.1,26,1.3,13.349999999999987,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T5,W09B3,1.2,24.8,26,1.3,12.449999999999996,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T5,W10T5,0.9,25.1,26,1.3,10.54999999999999,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T5,W11T5,0.7,25.3,26,1.3,4.799999999999997,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T5,W11BH:234-270,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T5,W11BC,1.2,24.8,26,1.3,4.349999999999998,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T5,W13B,1.2,24.8,26,1.3,3.3999999999999986,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T5,W14,1.5,24.5,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T6,W06B,1.2,24.8,26,1.3,16.25,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T6,W07BF,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T6,W07C3,0.9,25.1,26,1.3,14.349999999999994,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T6,W08C3,0.9,25.1,26,1.3,13.349999999999987,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T6,W09B3,1.2,24.8,26,1.3,12.449999999999996,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T6,W10T6,0.9,25.1,26,1.3,10.54999999999999,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T6,W11T6,0.7,25.3,26,1.3,4.799999999999997,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T6,W11BH:278-270,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T6,W11BC,1.2,24.8,26,1.3,4.349999999999998,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T6,W13B,1.2,24.8,26,1.3,3.3999999999999986,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T6,W14,1.5,24.5,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T7,W06B,1.2,24.8,26,1.3,16.25,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T7,W07BF,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T7,W07C4,0.9,25.1,26,1.3,14.349999999999994,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T7,W08C4,0.9,25.1,26,1.3,13.349999999999987,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T7,W09B4,1.2,24.8,26,1.3,12.449999999999996,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T7,W10T7,0.9,25.1,26,1.3,10.54999999999999,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T7,W11T7,0.7,25.3,26,1.3,4.799999999999997,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T7,W11BH:322-278,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T7,W11BH:278-270,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T7,W11BC,1.2,24.8,26,1.3,4.349999999999998,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T7,W13B,1.2,24.8,26,1.3,3.3999999999999986,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T7,W14,1.5,24.5,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T8,W06B,1.2,24.8,26,1.3,16.25,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T8,W07BF,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T8,W07C4,0.9,25.1,26,1.3,14.349999999999994,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T8,W08C4,0.9,25.1,26,1.3,13.349999999999987,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T8,W09B4,1.2,24.8,26,1.3,12.449999999999996,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T8,W10T8,0.9,25.1,26,1.3,10.54999999999999,20,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T8,W11T8,0.7,25.3,26,1.3,4.799999999999997,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T8,W11BH:366-322,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T8,W11BH:322-278,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T8,W11BH:278-270,1.2,24.8,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T8,W11BC,1.2,24.8,26,1.3,4.349999999999998,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T8,W13B,1.2,24.8,26,1.3,3.3999999999999986,10,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
T8,W14,1.5,24.5,26,1.3,0,0,水平埋管，端部竖向转接；局部最高点设排气；各交叉另作结构详图
