管段编号,管段名称,系统,规格,设计流量,折点坐标_m,管道中心线长度_m,转弯数,说明
W10T2,配水井至T2中心,water,DN900,0.410156 m3/s,"[[98, 118], [98, 105], [78.0, 105], [78.0, 80]]",58.00,2,4个等高堰后各设独立支管；用相邻平行中心线表达，平面计至中心进水竖管
W10T3,配水井至T3中心,water,DN900,0.410156 m3/s,"[[102, 118], [102, 106], [122.0, 106], [122.0, 80]]",58.00,2,4个等高堰后各设独立支管；用相邻平行中心线表达，平面计至中心进水竖管
W10T4,配水井至T4中心,water,DN900,0.410156 m3/s,"[[106, 118], [106, 107], [166.0, 107], [166.0, 80]]",98.00,2,4个等高堰后各设独立支管；用相邻平行中心线表达，平面计至中心进水竖管
W10T5,配水井至T5中心,water,DN900,0.410156 m3/s,"[[294, 118], [294, 104], [234.0, 104], [234.0, 80]]",98.00,2,4个等高堰后各设独立支管；用相邻平行中心线表达，平面计至中心进水竖管
W10T6,配水井至T6中心,water,DN900,0.410156 m3/s,"[[298, 118], [298, 105], [278.0, 105], [278.0, 80]]",58.00,2,4个等高堰后各设独立支管；用相邻平行中心线表达，平面计至中心进水竖管
W10T7,配水井至T7中心,water,DN900,0.410156 m3/s,"[[302, 118], [302, 106], [322.0, 106], [322.0, 80]]",58.00,2,4个等高堰后各设独立支管；用相邻平行中心线表达，平面计至中心进水竖管
W10T8,配水井至T8中心,water,DN900,0.410156 m3/s,"[[306, 118], [306, 107], [366.0, 107], [366.0, 80]]",98.00,2,4个等高堰后各设独立支管；用相邻平行中心线表达，平面计至中心进水竖管
W11T1,T1出水支管,water,DN700,0.234375 m3/s,"[[34.0, 59], [34.0, 56]]",3.00,0,接A线出水汇流管
W11T2,T2出水支管,water,DN700,0.234375 m3/s,"[[78.0, 59], [78.0, 56]]",3.00,0,接A线出水汇流管
W11T3,T3出水支管,water,DN700,0.234375 m3/s,"[[122.0, 59], [122.0, 56]]",3.00,0,接A线出水汇流管
W11T4,T4出水支管,water,DN700,0.234375 m3/s,"[[166.0, 59], [166.0, 56]]",3.00,0,接A线出水汇流管
W11T5,T5出水支管,water,DN700,0.234375 m3/s,"[[234.0, 59], [234.0, 54]]",5.00,0,接B线出水汇流管
W11T6,T6出水支管,water,DN700,0.234375 m3/s,"[[278.0, 59], [278.0, 54]]",5.00,0,接B线出水汇流管
W11T7,T7出水支管,water,DN700,0.234375 m3/s,"[[322.0, 59], [322.0, 54]]",5.00,0,接B线出水汇流管
W11T8,T8出水支管,water,DN700,0.234375 m3/s,"[[366.0, 59], [366.0, 54]]",5.00,0,接B线出水汇流管
W11AH,A线二沉出水汇流管,water,DN1200,0.9375 m3/s,"[[34, 56], [270, 56]]",236.00,0,T1—T4共用
W11AC,A线汇流管至接触池1格,water,DN1200,0.9375 m3/s,"[[270, 56], [270, 33], [274, 33]]",27.00,1,二沉澄清出水
W11BH,B线二沉出水汇流管,water,DN1200,0.9375 m3/s,"[[234, 54], [366, 54]]",132.00,0,T5—T8共用，在x=270处接出
W11BC,B线汇流管至接触池2格,water,DN1200,0.9375 m3/s,"[[270, 54], [270, 24], [274, 24]]",34.00,1,二沉澄清出水
W12A,接触池1格至计量渠1,water,1.50 m长喉道接口,0.9375 m3/s,"[[324, 33], [330, 33]]",6.00,0,计量位于消毒之后
W12B,接触池2格至计量渠2,water,1.50 m长喉道接口,0.9375 m3/s,"[[324, 24], [330, 24]]",6.00,0,计量位于消毒之后
W13A,计量渠1至出厂汇合点,water,渠道/连接管待定,0.9375 m3/s,"[[346, 33], [352, 33], [352, 29]]",10.00,1,计量后汇合
W13B,计量渠2至出厂汇合点,water,渠道/连接管待定,0.9375 m3/s,"[[346, 24], [352, 24], [352, 29]]",11.00,1,计量后汇合
W14,出厂汇合点至东厂界,water,DN1500,1.875 m3/s,"[[352, 29], [400, 29]]",48.00,0,仅计厂内；厂外至河道实测长度待定
R1,T1回流污泥支管,ras,DN500,0.175781 m3/s峰值,"[[34.0, 80], [34.0, 116]]",36.00,0,接对应A2/O系列回流干管
R2,T2回流污泥支管,ras,DN500,0.175781 m3/s峰值,"[[78.0, 80], [78.0, 116]]",36.00,0,接对应A2/O系列回流干管
R3,T3回流污泥支管,ras,DN500,0.175781 m3/s峰值,"[[122.0, 80], [122.0, 116]]",36.00,0,接对应A2/O系列回流干管
R4,T4回流污泥支管,ras,DN500,0.175781 m3/s峰值,"[[166.0, 80], [166.0, 116]]",36.00,0,接对应A2/O系列回流干管
R5,T5回流污泥支管,ras,DN500,0.175781 m3/s峰值,"[[234.0, 80], [234.0, 116]]",36.00,0,接对应A2/O系列回流干管
R6,T6回流污泥支管,ras,DN500,0.175781 m3/s峰值,"[[278.0, 80], [278.0, 116]]",36.00,0,接对应A2/O系列回流干管
R7,T7回流污泥支管,ras,DN500,0.175781 m3/s峰值,"[[322.0, 80], [322.0, 116]]",36.00,0,接对应A2/O系列回流干管
R8,T8回流污泥支管,ras,DN500,0.175781 m3/s峰值,"[[366.0, 80], [366.0, 116]]",36.00,0,接对应A2/O系列回流干管
RH1,B1回流污泥干管,ras,DN700,0.351563 m3/s峰值,"[[34, 116], [78, 116]]",44.00,0,两座二沉池汇流
RB1,回流干管至B1,ras,DN700,0.351563 m3/s峰值,"[[50, 116], [50, 138]]",22.00,0,接厌氧段；设止回与隔离
RH2,B2回流污泥干管,ras,DN700,0.351563 m3/s峰值,"[[122, 116], [166, 116]]",44.00,0,两座二沉池汇流
RB2,回流干管至B2,ras,DN700,0.351563 m3/s峰值,"[[150, 116], [150, 138]]",22.00,0,接厌氧段；设止回与隔离
RH3,B3回流污泥干管,ras,DN700,0.351563 m3/s峰值,"[[234, 116], [278, 116]]",44.00,0,两座二沉池汇流
RB3,回流干管至B3,ras,DN700,0.351563 m3/s峰值,"[[250, 116], [250, 138]]",22.00,0,接厌氧段；设止回与隔离
RH4,B4回流污泥干管,ras,DN700,0.351563 m3/s峰值,"[[322, 116], [366, 116]]",44.00,0,两座二沉池汇流
RB4,回流干管至B4,ras,DN700,0.351563 m3/s峰值,"[[350, 116], [350, 138]]",22.00,0,接厌氧段；设止回与隔离
IR1,B1混合液内回流,internal,DN1200,1.171875 m3/s峰值,"[[80.0, 143], [80.0, 183], [40.0, 183]]",80.00,1,池内平面暂计80 m；喷嘴与竖向由第08/09组复核
IR2,B2混合液内回流,internal,DN1200,1.171875 m3/s峰值,"[[180.0, 143], [180.0, 183], [140.0, 183]]",80.00,1,池内平面暂计80 m；喷嘴与竖向由第08/09组复核
IR3,B3混合液内回流,internal,DN1200,1.171875 m3/s峰值,"[[280.0, 143], [280.0, 183], [240.0, 183]]",80.00,1,池内平面暂计80 m；喷嘴与竖向由第08/09组复核
IR4,B4混合液内回流,internal,DN1200,1.171875 m3/s峰值,"[[380.0, 143], [380.0, 183], [340.0, 183]]",80.00,1,池内平面暂计80 m；喷嘴与竖向由第08/09组复核
A00,曝气环状母管,air,DN1200,48000 Nm3/h工作量,"[[10, 134], [390, 134], [390, 192], [10, 192], [10, 134]]",876.00,4,"鼓风机房在(200,134)接入；道路下穿段设套管"
A1,至B1空气支管,air,DN700,12000 Nm3/h,"[[50.0, 134], [50.0, 138]]",4.00,0,接池内配气管
A2,至B2空气支管,air,DN700,12000 Nm3/h,"[[150.0, 134], [150.0, 138]]",4.00,0,接池内配气管
A3,至B3空气支管,air,DN700,12000 Nm3/h,"[[250.0, 134], [250.0, 138]]",4.00,0,接池内配气管
A4,至B4空气支管,air,DN700,12000 Nm3/h,"[[350.0, 134], [350.0, 138]]",4.00,0,接池内配气管
SLA,A线剩余污泥至西侧边界,sludge,DN250接口,运行排泥量待第08组,"[[100, 116], [12, 116], [0, 116]]",100.00,0,仅到任务边界
SLB,B线剩余污泥至西侧边界,sludge,DN250接口,运行排泥量待第08组,"[[300, 118], [12, 118], [0, 118]]",300.00,0,仅到任务边界
EM,事故/检修超越预留,bypass,管径待专项核定,不得作为常规排放,"[[310, 261], [390, 261], [390, 29], [400, 29]]",322.00,2,沿东侧道路地下预留；启用须服从审批和运行规程
