管段编号,管段名称,节点序号,节点编号,x_m,y_m,节点类型,系统
W07C1,初沉分配至C1,2,W07C1-N02,50.0,250,折点,water
W07C1,初沉分配至C1,3,W07C1-N03,50.0,236,终点,water
W08C1,C1至B1,1,W08C1-N01,50.0,216,起点,water
W08C1,C1至B1,2,W08C1-N02,50.0,188,终点,water
W07C2,初沉分配至C2,1,W07C2-N01,100,250,起点,water
W07C2,初沉分配至C2,2,W07C2-N02,150.0,250,折点,water
W07C2,初沉分配至C2,3,W07C2-N03,150.0,236,终点,water
W08C2,C2至B2,1,W08C2-N01,150.0,216,起点,water
W08C2,C2至B2,2,W08C2-N02,150.0,188,终点,water
W07C3,初沉分配至C3,1,W07C3-N01,300,250,起点,water
W07C3,初沉分配至C3,2,W07C3-N02,250.0,250,折点,water
W07C3,初沉分配至C3,3,W07C3-N03,250.0,236,终点,water
W08C3,C3至B3,1,W08C3-N01,250.0,216,起点,water
W08C3,C3至B3,2,W08C3-N02,250.0,188,终点,water
W07C4,初沉分配至C4,1,W07C4-N01,300,250,起点,water
W07C4,初沉分配至C4,2,W07C4-N02,350.0,250,折点,water
W07C4,初沉分配至C4,3,W07C4-N03,350.0,236,终点,water
W08C4,C4至B4,1,W08C4-N01,350.0,216,起点,water
W08C4,C4至B4,2,W08C4-N02,350.0,188,终点,water
W09B1,B1至二沉配水井,1,W09B1-N01,50.0,138,起点,water
W09B1,B1至二沉配水井,2,W09B1-N02,50.0,134,折点,water
W09B1,B1至二沉配水井,3,W09B1-N03,100,134,折点,water
W09B1,B1至二沉配水井,4,W09B1-N04,100,130,终点,water
W09B2,B2至二沉配水井,1,W09B2-N01,150.0,138,起点,water
W09B2,B2至二沉配水井,2,W09B2-N02,150.0,134,折点,water
W09B2,B2至二沉配水井,3,W09B2-N03,100,134,折点,water
W09B2,B2至二沉配水井,4,W09B2-N04,100,130,终点,water
W09B3,B3至二沉配水井,1,W09B3-N01,250.0,138,起点,water
W09B3,B3至二沉配水井,2,W09B3-N02,250.0,134,折点,water
W09B3,B3至二沉配水井,3,W09B3-N03,300,134,折点,water
W09B3,B3至二沉配水井,4,W09B3-N04,300,130,终点,water
W09B4,B4至二沉配水井,1,W09B4-N01,350.0,138,起点,water
W09B4,B4至二沉配水井,2,W09B4-N02,350.0,134,折点,water
W09B4,B4至二沉配水井,3,W09B4-N03,300,134,折点,water
W09B4,B4至二沉配水井,4,W09B4-N04,300,130,终点,water
W10T1,配水井至T1中心,1,W10T1-N01,94,118,起点,water
W10T1,配水井至T1中心,2,W10T1-N02,94,104,折点,water
W10T1,配水井至T1中心,3,W10T1-N03,34.0,104,折点,water
W10T1,配水井至T1中心,4,W10T1-N04,34.0,80,终点,water
W10T2,配水井至T2中心,1,W10T2-N01,98,118,起点,water
W10T2,配水井至T2中心,2,W10T2-N02,98,105,折点,water
W10T2,配水井至T2中心,3,W10T2-N03,78.0,105,折点,water
W10T2,配水井至T2中心,4,W10T2-N04,78.0,80,终点,water
W10T3,配水井至T3中心,1,W10T3-N01,102,118,起点,water
W10T3,配水井至T3中心,2,W10T3-N02,102,106,折点,water
W10T3,配水井至T3中心,3,W10T3-N03,122.0,106,折点,water
W10T3,配水井至T3中心,4,W10T3-N04,122.0,80,终点,water
W10T4,配水井至T4中心,1,W10T4-N01,106,118,起点,water
W10T4,配水井至T4中心,2,W10T4-N02,106,107,折点,water
W10T4,配水井至T4中心,3,W10T4-N03,166.0,107,折点,water
W10T4,配水井至T4中心,4,W10T4-N04,166.0,80,终点,water
W10T5,配水井至T5中心,1,W10T5-N01,294,118,起点,water
W10T5,配水井至T5中心,2,W10T5-N02,294,104,折点,water
W10T5,配水井至T5中心,3,W10T5-N03,234.0,104,折点,water
W10T5,配水井至T5中心,4,W10T5-N04,234.0,80,终点,water
W10T6,配水井至T6中心,1,W10T6-N01,298,118,起点,water
W10T6,配水井至T6中心,2,W10T6-N02,298,105,折点,water
W10T6,配水井至T6中心,3,W10T6-N03,278.0,105,折点,water
W10T6,配水井至T6中心,4,W10T6-N04,278.0,80,终点,water
W10T7,配水井至T7中心,1,W10T7-N01,302,118,起点,water
W10T7,配水井至T7中心,2,W10T7-N02,302,106,折点,water
W10T7,配水井至T7中心,3,W10T7-N03,322.0,106,折点,water
W10T7,配水井至T7中心,4,W10T7-N04,322.0,80,终点,water
W10T8,配水井至T8中心,1,W10T8-N01,306,118,起点,water
W10T8,配水井至T8中心,2,W10T8-N02,306,107,折点,water
W10T8,配水井至T8中心,3,W10T8-N03,366.0,107,折点,water
W10T8,配水井至T8中心,4,W10T8-N04,366.0,80,终点,water
W11T1,T1出水支管,1,W11T1-N01,34.0,59,起点,water
W11T1,T1出水支管,2,W11T1-N02,34.0,56,终点,water
W11T2,T2出水支管,1,W11T2-N01,78.0,59,起点,water
W11T2,T2出水支管,2,W11T2-N02,78.0,56,终点,water
W11T3,T3出水支管,1,W11T3-N01,122.0,59,起点,water
W11T3,T3出水支管,2,W11T3-N02,122.0,56,终点,water
W11T4,T4出水支管,1,W11T4-N01,166.0,59,起点,water
W11T4,T4出水支管,2,W11T4-N02,166.0,56,终点,water
W11T5,T5出水支管,1,W11T5-N01,234.0,59,起点,water
W11T5,T5出水支管,2,W11T5-N02,234.0,54,终点,water
W11T6,T6出水支管,1,W11T6-N01,278.0,59,起点,water
W11T6,T6出水支管,2,W11T6-N02,278.0,54,终点,water
W11T7,T7出水支管,1,W11T7-N01,322.0,59,起点,water
W11T7,T7出水支管,2,W11T7-N02,322.0,54,终点,water
W11T8,T8出水支管,1,W11T8-N01,366.0,59,起点,water
W11T8,T8出水支管,2,W11T8-N02,366.0,54,终点,water
W11AH,A线二沉出水汇流管,1,W11AH-N01,34,56,起点,water
W11AH,A线二沉出水汇流管,2,W11AH-N02,270,56,终点,water
W11AC,A线汇流管至接触池1格,1,W11AC-N01,270,56,起点,water
W11AC,A线汇流管至接触池1格,2,W11AC-N02,270,33,折点,water
W11AC,A线汇流管至接触池1格,3,W11AC-N03,274,33,终点,water
W11BH,B线二沉出水汇流管,1,W11BH-N01,234,54,起点,water
W11BH,B线二沉出水汇流管,2,W11BH-N02,366,54,终点,water
W11BC,B线汇流管至接触池2格,1,W11BC-N01,270,54,起点,water
W11BC,B线汇流管至接触池2格,2,W11BC-N02,270,24,折点,water
W11BC,B线汇流管至接触池2格,3,W11BC-N03,274,24,终点,water
W12A,接触池1格至计量渠1,1,W12A-N01,324,33,起点,water
W12A,接触池1格至计量渠1,2,W12A-N02,330,33,终点,water
W12B,接触池2格至计量渠2,1,W12B-N01,324,24,起点,water
W12B,接触池2格至计量渠2,2,W12B-N02,330,24,终点,water
W13A,计量渠1至出厂汇合点,1,W13A-N01,346,33,起点,water
W13A,计量渠1至出厂汇合点,2,W13A-N02,352,33,折点,water
W13A,计量渠1至出厂汇合点,3,W13A-N03,352,29,终点,water
W13B,计量渠2至出厂汇合点,1,W13B-N01,346,24,起点,water
W13B,计量渠2至出厂汇合点,2,W13B-N02,352,24,折点,water
W13B,计量渠2至出厂汇合点,3,W13B-N03,352,29,终点,water
W14,出厂汇合点至东厂界,1,W14-N01,352,29,起点,water
W14,出厂汇合点至东厂界,2,W14-N02,400,29,终点,water
R1,T1回流污泥支管,1,R1-N01,34.0,80,起点,ras
R1,T1回流污泥支管,2,R1-N02,34.0,116,终点,ras
R2,T2回流污泥支管,1,R2-N01,78.0,80,起点,ras
R2,T2回流污泥支管,2,R2-N02,78.0,116,终点,ras
R3,T3回流污泥支管,1,R3-N01,122.0,80,起点,ras
R3,T3回流污泥支管,2,R3-N02,122.0,116,终点,ras
R4,T4回流污泥支管,1,R4-N01,166.0,80,起点,ras
R4,T4回流污泥支管,2,R4-N02,166.0,116,终点,ras
R5,T5回流污泥支管,1,R5-N01,234.0,80,起点,ras
R5,T5回流污泥支管,2,R5-N02,234.0,116,终点,ras
R6,T6回流污泥支管,1,R6-N01,278.0,80,起点,ras
R6,T6回流污泥支管,2,R6-N02,278.0,116,终点,ras
R7,T7回流污泥支管,1,R7-N01,322.0,80,起点,ras
R7,T7回流污泥支管,2,R7-N02,322.0,116,终点,ras
R8,T8回流污泥支管,1,R8-N01,366.0,80,起点,ras
R8,T8回流污泥支管,2,R8-N02,366.0,116,终点,ras
RH1,B1回流污泥干管,1,RH1-N01,34,116,起点,ras
RH1,B1回流污泥干管,2,RH1-N02,78,116,终点,ras
RB1,回流干管至B1,1,RB1-N01,50,116,起点,ras
RB1,回流干管至B1,2,RB1-N02,50,138,终点,ras
RH2,B2回流污泥干管,1,RH2-N01,122,116,起点,ras
RH2,B2回流污泥干管,2,RH2-N02,166,116,终点,ras
RB2,回流干管至B2,1,RB2-N01,150,116,起点,ras
RB2,回流干管至B2,2,RB2-N02,150,138,终点,ras
RH3,B3回流污泥干管,1,RH3-N01,234,116,起点,ras
RH3,B3回流污泥干管,2,RH3-N02,278,116,终点,ras
RB3,回流干管至B3,1,RB3-N01,250,116,起点,ras
RB3,回流干管至B3,2,RB3-N02,250,138,终点,ras
RH4,B4回流污泥干管,1,RH4-N01,322,116,起点,ras
RH4,B4回流污泥干管,2,RH4-N02,366,116,终点,ras
RB4,回流干管至B4,1,RB4-N01,350,116,起点,ras
RB4,回流干管至B4,2,RB4-N02,350,138,终点,ras
IR1,B1混合液内回流,1,IR1-N01,80.0,143,起点,internal
IR1,B1混合液内回流,2,IR1-N02,80.0,183,折点,internal
IR1,B1混合液内回流,3,IR1-N03,40.0,183,终点,internal
IR2,B2混合液内回流,1,IR2-N01,180.0,143,起点,internal
IR2,B2混合液内回流,2,IR2-N02,180.0,183,折点,internal
IR2,B2混合液内回流,3,IR2-N03,140.0,183,终点,internal
IR3,B3混合液内回流,1,IR3-N01,280.0,143,起点,internal
IR3,B3混合液内回流,2,IR3-N02,280.0,183,折点,internal
IR3,B3混合液内回流,3,IR3-N03,240.0,183,终点,internal
IR4,B4混合液内回流,1,IR4-N01,380.0,143,起点,internal
IR4,B4混合液内回流,2,IR4-N02,380.0,183,折点,internal
IR4,B4混合液内回流,3,IR4-N03,340.0,183,终点,internal
A00,曝气环状母管,1,A00-N01,10,134,起点,air
A00,曝气环状母管,2,A00-N02,390,134,折点,air
A00,曝气环状母管,3,A00-N03,390,192,折点,air
A00,曝气环状母管,4,A00-N04,10,192,折点,air
A00,曝气环状母管,5,A00-N05,10,134,终点,air
A1,至B1空气支管,1,A1-N01,50.0,134,起点,air
A1,至B1空气支管,2,A1-N02,50.0,138,终点,air
A2,至B2空气支管,1,A2-N01,150.0,134,起点,air
A2,至B2空气支管,2,A2-N02,150.0,138,终点,air
A3,至B3空气支管,1,A3-N01,250.0,134,起点,air
A3,至B3空气支管,2,A3-N02,250.0,138,终点,air
A4,至B4空气支管,1,A4-N01,350.0,134,起点,air
A4,至B4空气支管,2,A4-N02,350.0,138,终点,air
SLA,A线剩余污泥至西侧边界,1,SLA-N01,100,116,起点,sludge
SLA,A线剩余污泥至西侧边界,2,SLA-N02,12,116,折点,sludge
SLA,A线剩余污泥至西侧边界,3,SLA-N03,0,116,终点,sludge
SLB,B线剩余污泥至西侧边界,1,SLB-N01,300,118,起点,sludge
SLB,B线剩余污泥至西侧边界,2,SLB-N02,12,118,折点,sludge
SLB,B线剩余污泥至西侧边界,3,SLB-N03,0,118,终点,sludge
EM,事故/检修超越预留,1,EM-N01,310,261,起点,bypass
EM,事故/检修超越预留,2,EM-N02,390,261,折点,bypass
EM,事故/检修超越预留,3,EM-N03,390,29,折点,bypass
EM,事故/检修超越预留,4,EM-N04,400,29,终点,bypass
